county,year,precip
1,1985,50.84
1,1990,52.15
1,1995,41.53
1,2000,45.28
1,2005,44.76
1,2010,41.28
1,2015,49.18
3,1985,37.40
3,1990,41.43
3,1995,37.33
3,2000,38.26
3,2005,33.54
3,2010,34.07
3,2015,34.93
5,1985,44.71
5,1990,49.71
5,1995,46.51
5,2000,43.17
5,2005,43.13
5,2010,47.58
5,2015,49.83
7,1985,47.47
7,1990,53.99
7,1995,46.63
7,2000,44.17
7,2005,45.41
7,2010,42.14
7,2015,52.69
9,1985,41.92
9,1990,53.80
9,1995,33.58
9,2000,40.15
9,2005,41.35
9,2010,37.23
9,2015,46.22
11,1985,41.93
11,1990,48.21
11,1995,45.46
11,2000,41.61
11,2005,38.15
11,2010,46.26
11,2015,45.71
13,1985,45.04
13,1990,53.11
13,1995,46.15
13,2000,39.46
13,2005,43.90
13,2010,41.98
13,2015,50.00
15,1985,44.62
15,1990,51.73
15,1995,46.76
15,2000,44.45
15,2005,42.11
15,2010,42.52
15,2015,50.77
17,1985,45.84
17,1990,55.63
17,1995,45.92
17,2000,42.66
17,2005,46.36
17,2010,43.04
17,2015,47.99
19,1985,43.66
19,1990,49.08
19,1995,44.71
19,2000,47.20
19,2005,42.67
19,2010,43.83
19,2015,50.14
21,1985,45.31
21,1990,53.20
21,1995,47.29
21,2000,40.90
21,2005,45.33
21,2010,40.86
21,2015,49.49
23,1985,44.96
23,1990,38.47
23,1995,39.52
23,2000,35.73
23,2005,35.74
23,2010,34.33
23,2015,40.53
25,1985,43.18
25,1990,47.45
25,1995,45.25
25,2000,43.25
25,2005,39.45
25,2010,40.03
25,2015,50.89
27,1985,37.93
27,1990,38.62
27,1995,36.83
27,2000,35.52
27,2005,32.14
27,2010,33.77
27,2015,37.57
29,1985,41.24
29,1990,52.37
29,1995,31.88
29,2000,39.18
29,2005,41.84
29,2010,40.71
29,2015,41.74
31,1985,40.60
31,1990,36.90
31,1995,39.62
31,2000,35.78
31,2005,34.00
31,2010,34.92
31,2015,40.59
33,1985,45.85
33,1990,54.31
33,1995,43.72
33,2000,43.39
33,2005,42.58
33,2010,40.32
33,2015,47.36
35,1985,42.47
35,1990,48.54
35,1995,46.00
35,2000,41.65
35,2005,40.48
35,2010,42.83
35,2015,48.36
37,1985,35.94
37,1990,42.25
37,1995,38.02
37,2000,38.49
37,2005,35.42
37,2010,35.79
37,2015,35.52
39,1985,42.18
39,1990,47.75
39,1995,46.02
39,2000,42.19
39,2005,42.18
39,2010,44.37
39,2015,47.56
41,1985,47.49
41,1990,52.03
41,1995,46.31
41,2000,44.71
41,2005,45.23
41,2010,42.98
41,2015,49.75
43,1985,43.32
43,1990,49.06
43,1995,46.66
43,2000,42.22
43,2005,40.95
43,2010,47.27
43,2015,48.18
45,1985,47.91
45,1990,45.45
45,1995,46.90
45,2000,45.13
45,2005,43.71
45,2010,49.60
45,2015,50.93
47,1985,39.05
47,1990,47.17
47,1995,41.94
47,2000,39.40
47,2005,41.27
47,2010,45.37
47,2015,48.96
49,1985,44.90
49,1990,52.68
49,1995,42.09
49,2000,43.46
49,2005,42.84
49,2010,41.03
49,2015,44.32
51,1985,43.50
51,1990,54.66
51,1995,40.64
51,2000,41.38
51,2005,44.72
51,2010,38.18
51,2015,48.29
53,1985,40.89
53,1990,47.13
53,1995,42.92
53,2000,42.87
53,2005,36.50
53,2010,42.55
53,2015,45.78
55,1985,38.02
55,1990,42.43
55,1995,42.05
55,2000,35.05
55,2005,36.14
55,2010,41.40
55,2015,45.43
57,1985,40.55
57,1990,39.08
57,1995,35.35
57,2000,34.53
57,2005,34.03
57,2010,33.71
57,2015,36.93
59,1985,44.06
59,1990,48.69
59,1995,45.91
59,2000,43.43
59,2005,43.66
59,2010,48.12
59,2015,52.13
61,1985,46.72
61,1990,50.16
61,1995,39.20
61,2000,43.18
61,2005,43.53
61,2010,41.60
61,2015,42.96
63,1985,39.82
63,1990,44.08
63,1995,41.15
63,2000,37.50
63,2005,34.07
63,2010,36.68
63,2015,48.61
65,1985,38.80
65,1990,41.41
65,1995,37.19
65,2000,36.42
65,2005,33.65
65,2010,33.90
65,2015,39.71
67,1985,50.12
67,1990,53.97
67,1995,48.98
67,2000,50.65
67,2005,47.16
67,2010,46.38
67,2015,55.28
69,1985,42.12
69,1990,53.82
69,1995,36.79
69,2000,40.94
69,2005,41.55
69,2010,35.42
69,2015,47.67
71,1985,46.74
71,1990,40.73
71,1995,41.97
71,2000,35.89
71,2005,38.65
71,2010,35.35
71,2015,45.76
73,1985,42.51
73,1990,56.05
73,1995,44.99
73,2000,43.69
73,2005,41.08
73,2010,43.42
73,2015,46.58
75,1985,49.28
75,1990,54.52
75,1995,46.08
75,2000,47.50
75,2005,43.94
75,2010,45.53
75,2015,55.89
77,1985,56.40
77,1990,56.09
77,1995,42.51
77,2000,46.79
77,2005,48.85
77,2010,44.31
77,2015,48.86
79,1985,42.33
79,1990,49.40
79,1995,45.68
79,2000,39.05
79,2005,37.72
79,2010,45.65
79,2015,42.70
81,1985,40.59
81,1990,44.88
81,1995,41.61
81,2000,41.04
81,2005,39.80
81,2010,43.86
81,2015,50.73
83,1985,59.28
83,1990,58.08
83,1995,47.49
83,2000,49.95
83,2005,49.65
83,2010,47.55
83,2015,57.74
85,1985,44.49
85,1990,55.84
85,1995,45.93
85,2000,41.74
85,2005,43.48
85,2010,43.20
85,2015,47.66
87,1985,43.36
87,1990,48.49
87,1995,45.54
87,2000,39.61
87,2005,43.28
87,2010,41.50
87,2015,50.27
89,1985,35.82
89,1990,42.27
89,1995,39.13
89,2000,35.84
89,2005,35.26
89,2010,35.12
89,2015,46.55
91,1985,48.88
91,1990,52.62
91,1995,42.20
91,2000,44.00
91,2005,43.37
91,2010,39.94
91,2015,44.95
93,1985,59.96
93,1990,52.87
93,1995,47.74
93,2000,47.33
93,2005,46.51
93,2010,42.90
93,2015,54.03
95,1985,44.24
95,1990,55.32
95,1995,45.40
95,2000,42.06
95,2005,44.18
95,2010,43.17
95,2015,47.76
97,1985,53.47
97,1990,54.53
97,1995,45.45
97,2000,50.04
97,2005,48.41
97,2010,47.10
97,2015,52.14
99,1985,44.86
99,1990,50.00
99,1995,46.08
99,2000,43.15
99,2005,40.44
99,2010,45.28
99,2015,50.97
101,1985,56.86
101,1990,60.45
101,1995,53.33
101,2000,53.12
101,2005,54.75
101,2010,51.41
101,2015,60.57
103,1985,44.60
103,1990,55.77
103,1995,43.97
103,2000,43.40
103,2005,44.17
103,2010,42.67
103,2015,48.04
105,1985,43.13
105,1990,53.70
105,1995,45.05
105,2000,39.57
105,2005,43.06
105,2010,42.87
105,2015,49.29
107,1985,39.66
107,1990,55.19
107,1995,43.60
107,2000,42.20
107,2005,39.53
107,2010,43.66
107,2015,45.16
109,1985,42.34
109,1990,47.09
109,1995,45.25
109,2000,42.10
109,2005,42.16
109,2010,47.12
109,2015,50.45
